Symbol,Name
150,ADVM,Adverum Biotechnologies Inc. Common Stock
151,ADVWW,Advantage Solutions Inc. Warrant
152,ADX,Adams Diversified Equity Fund Inc.
153,ADXN,Addex Therapeutics Ltd American Depositary Shares
154,AE,Adams Resources & Energy Inc. Common Stock
155,AEAC,Authentic Equity Acquisition Corp. Class A ordinary share
156,AEACU,Authentic Equity Acquisition Corp. Unit
157,AEACW,Authentic Equity Acquisition Corp. Warrant
158,AEAE,AltEnergy Acquisition Corp. Class A Common Stock
159,AEAEU,AltEnergy Acquisition Corp. Unit
160,AEAEW,AltEnergy Acquisition Corp. Warrant
161,AEE,Ameren Corporation Common Stock
162,AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock
163,AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049
164,AEG,AEGON N.V. Common Stock
165,AEHA,Aesther Healthcare Acquisition Corp Class A Common Stock
166,AEHAU,Aesther Healthcare Acquisition Corp Units
167,AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par)
168,AEHR,Aehr Test Systems Common Stock
169,AEI,Alset EHome International Inc. Common Stock
170,AEIS,Advanced Energy Industries Inc. Common Stock
171,AEL,American Equity Investment Life Holding Company Common Stock
172,AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A
173,AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B
174,AEM,Agnico Eagle Mines Limited Common Stock
175,AEMD,Aethlon Medical Inc. Common Stock
176,AENZ,Aenza S.A.A. American Depositary Shares
177,AEO,American Eagle Outfitters Inc. Common Stock
178,AEP,American Electric Power Company Inc. Common Stock
179,AEPPL,American Electric Power Company Inc. Corporate Unit
180,AEPPZ,American Electric Power Company Inc. Corporate Units
181,AER,AerCap Holdings N.V. Ordinary Shares
182,AERC,AeroClean Technologies Inc. Common Stock
183,AERI,Aerie Pharmaceuticals Inc. Common Stock
184,AES,The AES Corporation Common Stock
185,AESC,The AES Corporation Corporate Units
186,AESE,Allied Esports Entertainment Inc. Common Stock
187,AEVA,Aeva Technologies Inc. Common Stock
188,AEY,ADDvantage Technologies Group Inc. Common Stock
189,AEYE,AudioEye Inc. Common Stock
190,AEZS,Aeterna Zentaris Inc. Common Stock
191,AFACU,Arena Fortify Acquisition Corp. Unit
192,AFAQ,AF Acquisition Corp. Class A Common Stock
193,AFAQW,AF Acquisition Corp. Warrants
194,AFB,AllianceBernstein National Municipal Income Fund Inc
195,AFBI,Affinity Bancshares Inc. Common Stock (MD)
196,AFCG,AFC Gamma Inc. Common Stock
197,AFG,American Financial Group Inc. Common Stock
198,AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059
199,AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059
200,AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060
201,AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060
202,AFI,Armstrong Flooring Inc. Common Stock
203,AFIB,Acutus Medical Inc. Common Stock
204,AFIN,American Finance Trust Inc. Class A Common Stock
205,AFINO,American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock
206,AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock
207,AFL,AFLAC Incorporated Common Stock
208,AFMD,Affimed N.V.
209,AFRM,Affirm Holdings Inc. Class A Common Stock
210,AFT,Apollo Senior Floating Rate Fund Inc. Common Stock
211,AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares
212,AFYA,Afya Limited Class A Common Shares
213,AG,First Majestic Silver Corp. Ordinary Shares (Canada)
214,AGAC,African Gold Acquisition Corporation Class A Ordinary Shares
215,AGBA,AGBA Acquisition Limited Ordinary Share
216,AGBAR,AGBA Acquisition Limited Right
217,AGBAW,AGBA Acquisition Limited Warrant
218,AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares
219,AGCO,AGCO Corporation Common Stock
220,AGD,Aberdeen Global Dynamic Dividend Fund
221,AGE,AgeX Therapeutics Inc. Common Stock
222,AGEN,Agenus Inc. Common Stock
223,AGFS,AgroFresh Solutions Inc. Common Stock
224,AGFY,Agrify Corporation Common Stock
225,AGGR,Agile Growth Corp. Class A Ordinary Share
226,AGGRU,Agile Growth Corp. Units
227,AGI,Alamos Gold Inc. Class A Common Shares
228,AGIL,AgileThought Inc. Class A Common Stock
229,AGILW,AgileThought Inc. Warrant
230,AGIO,Agios Pharmaceuticals Inc. Common Stock
231,AGL,agilon health inc. Common Stock
232,AGLE,Aeglea BioTherapeutics Inc. Common Stock
233,AGM,Federal Agricultural Mortgage Corporation Common Stock
234,AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg
235,AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D
236,AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E
237,AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F
238,AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G
239,AGMH,AGM Group Holdings Inc. Class A Ordinary Shares
240,AGNC,AGNC Investment Corp. Common Stock
241,AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock
242,AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock
243,AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock
244,AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
245,AGO,Assured Guaranty Ltd. Common Stock
246,AGR,Avangrid Inc. Common Stock
247,AGRI,AgriFORCE  Growing Systems Ltd. Common Shares
248,AGRIW,AgriFORCE  Growing Systems Ltd. Warrant
249,AGRO,Adecoagro S.A. Common Shares
250,AGRX,Agile Therapeutics Inc. Common Stock
251,AGS,PlayAGS Inc. Common Stock
252,AGTC,Applied Genetic Technologies Corporation Common Stock
253,AGTI,Agiliti Inc. Common Stock
254,AGX,Argan Inc. Common Stock
255,AGYS,Agilysys Inc. Common Stock
256,AHCO,AdaptHealth Corp. Common Stock
257,AHG,Akso Health Group ADS
258,AHH,Armada Hoffler Properties Inc. Common Stock
259,AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock
260,AHI,Advanced Human Imaging Limited. American Depositary Shares
261,AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares
262,AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares
263,AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares
264,AHPA,Avista Public Acquisition Corp. II Class A Ordinary Shares
265,AHPAU,Avista Public Acquisition Corp. II Unit
266,AHPAW,Avista Public Acquisition Corp. II Warrant
267,AHPI,Allied Healthcare Products Inc. Common Stock
268,AHRNU,Ahren Acquisition Corp. Unit
269,AHT,Ashford Hospitality Trust Inc Common Stock
270,AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock
271,AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock
272,AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock
273,AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock
274,AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock
275,AI,C3.ai Inc. Class A Common Stock
276,AIC,Arlington Asset Investment Corp 6.750% Notes due 2025
277,AIF,Apollo Tactical Income Fund Inc. Common Stock
278,AIG,American International Group Inc. New Common Stock
279,AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock
280,AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares
281,AIHS,Senmiao Technology Limited Common Stock
282,AIKI,AIkido Pharma Inc. Common Stock
283,AIM,AIM ImmunoTech Inc. Common Stock
284,AIMC,Altra Industrial Motion Corp. Common Stock
285,AIN,Albany International Corporation Common Stock
286,AINC,Ashford Inc. (Holding Company) Common Stock
287,AINV,Apollo Investment Corporation Common Stock
288,AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares
289,AIP,Arteris Inc. Common Stock
290,AIR,AAR Corp. Common Stock
291,AIRC,Apartment Income REIT Corp. Common Stock
292,AIRG,Airgain Inc. Common Stock
293,AIRI,Air Industries Group Common Stock
294,AIRS,AirSculpt Technologies Inc. Common Stock
295,AIRT,Air T Inc. Common Stock
296,AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities
297,AIT,Applied Industrial Technologies Inc. Common Stock
298,AIV,Apartment Investment and Management Company Common Stock
299,AIZ,Assurant Inc. Common Stock
300,AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061
301,AJG,Arthur J. Gallagher & Co. Common Stock
302,AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock
303,AJX,Great Ajax Corp. Common Stock
304,AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024
305,AKA,a.k.a. Brands Holding Corp. Common Stock
306,AKAM,Akamai Technologies Inc. Common Stock
307,AKBA,Akebia Therapeutics Inc. Common Stock
308,AKIC,Sports Ventures Acquisition Corp. Class A Ordinary Shares
309,AKICU,Sports Ventures Acquisition Corp. Unit
310,AKO/A,Embotelladora Andina S.A.
311,AKO/B,Embotelladora Andina S.A.
312,AKR,Acadia Realty Trust Common Stock
313,AKRO,Akero Therapeutics Inc. Common Stock
314,AKTS,Akoustis Technologies Inc. Common Stock
315,AKTX,Akari Therapeutics plc ADS
316,AKU,Akumin Inc. Common Shares
317,AKUS,Akouos Inc. Common Stock
318,AKYA,Akoya BioSciences Inc. Common Stock
319,AL,Air Lease Corporation Class A Common Stock
320,AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A
